cve_id,vendor,product,repo_key,final_repo_key,github_url,ref_kind,source_tags,verdict,confidence,audit_reason,stored_decision_rule,stored_fitness,checked_url,final_url,http_status,github_title,github_description,recommended_action,recommended_reason,repo_action_canonical_repo_key
CVE-2012-2125,rubygems,rubygems,rubygems@rubygems,ruby@rubygems,https://github.com/rubygems/rubygems/blob/1.8/History.txt,repo_or_file,,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,score_threshold,1.0,https://github.com/rubygems/rubygems,https://github.com/ruby/rubygems,200,GitHub - ruby/rubygems: Library packaging and distribution for Ruby. · GitHub,Library packaging and distribution for Ruby. Contribute to ruby/rubygems development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,ruby@rubygems
CVE-2012-2126,rubygems,rubygems,rubygems@rubygems,ruby@rubygems,https://github.com/rubygems/rubygems/blob/1.8/History.txt,repo_or_file,Patch;Vendor Advisory,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,score_threshold,1.0,https://github.com/rubygems/rubygems,https://github.com/ruby/rubygems,200,GitHub - ruby/rubygems: Library packaging and distribution for Ruby. · GitHub,Library packaging and distribution for Ruby. Contribute to ruby/rubygems development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,ruby@rubygems
CVE-2012-2129,andreas_gohr,dokuwiki,splitbrain@dokuwiki,dokuwiki@dokuwiki,https://github.com/splitbrain/dokuwiki/commit/ff71173477e54774b5571015d49d944f51cb8a26,commit,,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.65,https://github.com/splitbrain/dokuwiki,https://github.com/dokuwiki/dokuwiki,200,GitHub - dokuwiki/dokuwiki: The DokuWiki Open Source Wiki Engine · GitHub,The DokuWiki Open Source Wiki Engine. Contribute to dokuwiki/dokuwiki development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,dokuwiki@dokuwiki
CVE-2014-0168,jolokia,jolokia,rhuss@jolokia,jolokia@jolokia,https://github.com/rhuss/jolokia/commit/2d9b168cfbbf5a6d16fa6e8a5b34503e3dc42364,commit,Exploit,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.65,https://github.com/rhuss/jolokia,https://github.com/jolokia/jolokia,200,GitHub - jolokia/jolokia: JMX on Capsaicin · GitHub,JMX on Capsaicin. Contribute to jolokia/jolokia development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,jolokia@jolokia
CVE-2014-0177,github,hub,github@hub,mislav@hub,https://github.com/github/hub/commit/016ec99d25b1cb83cb4367e541177aa431beb600,commit,Exploit;Patch,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,score_threshold,1.0,https://github.com/github/hub,https://github.com/mislav/hub,200,GitHub - mislav/hub: A command-line tool that makes git easier to use with GitHub. · GitHub,A command-line tool that makes git easier to use with GitHub. - mislav/hub,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,mislav@hub
CVE-2014-125127,flightphp,flight,mikecao@flight,flightphp@core,https://github.com/mikecao/flight/commit/da40e03eb4a39745107912dffe926a8fce0d38dc,commit,Patch,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.6811111111111111,https://github.com/mikecao/flight,https://github.com/flightphp/core,200,GitHub - flightphp/core: An extensible micro-framework for PHP · GitHub,An extensible micro-framework for PHP. Contribute to flightphp/core development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,flightphp@core
CVE-2014-2570,php_font_lib_project,php_font_lib,phenx@php-font-lib,dompdf@php-font-lib,https://github.com/PhenX/php-font-lib/commit/d13682b7e27d14a6323c441426f3dde1cd86c751,commit,,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.6675,https://github.com/phenx/php-font-lib,https://github.com/dompdf/php-font-lib,200,"GitHub - dompdf/php-font-lib: A library to read, parse, export and make subsets of different types of font files. · GitHub","A library to read, parse, export and make subsets of different types of font files. - dompdf/php-font-lib",canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,dompdf@php-font-lib
CVE-2014-8761,dokuwiki,dokuwiki,splitbrain@dokuwiki,dokuwiki@dokuwiki,https://github.com/splitbrain/dokuwiki/issues/765,issue,,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.678,https://github.com/splitbrain/dokuwiki,https://github.com/dokuwiki/dokuwiki,200,GitHub - dokuwiki/dokuwiki: The DokuWiki Open Source Wiki Engine · GitHub,The DokuWiki Open Source Wiki Engine. Contribute to dokuwiki/dokuwiki development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,dokuwiki@dokuwiki
CVE-2014-8762,dokuwiki,dokuwiki,splitbrain@dokuwiki,dokuwiki@dokuwiki,https://github.com/splitbrain/dokuwiki/issues/765,issue,,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.678,https://github.com/splitbrain/dokuwiki,https://github.com/dokuwiki/dokuwiki,200,GitHub - dokuwiki/dokuwiki: The DokuWiki Open Source Wiki Engine · GitHub,The DokuWiki Open Source Wiki Engine. Contribute to dokuwiki/dokuwiki development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,dokuwiki@dokuwiki
CVE-2014-8763,dokuwiki,dokuwiki,splitbrain@dokuwiki,dokuwiki@dokuwiki,https://github.com/splitbrain/dokuwiki/pull/868,pull,,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,ref_clean_repo_score_ge_threshold,0.678,https://github.com/splitbrain/dokuwiki,https://github.com/dokuwiki/dokuwiki,200,GitHub - dokuwiki/dokuwiki: The DokuWiki Open Source Wiki Engine · GitHub,The DokuWiki Open Source Wiki Engine. Contribute to dokuwiki/dokuwiki development by creating an account on GitHub.,canonicalize_repo_key_or_store_redirect_alias,github_root_redirects_to_different_owner_repo,dokuwiki@dokuwiki
