cve_id,vendor,product,repo_key,github_url,ref_kind,source_tags,verdict,confidence,audit_reason,product_repo_relation,product_repo_relation_score,vendor_owner_relation,vendor_owner_relation_score,metadata_product_hit,github_repo_http_status,github_repo_checked_url,github_repo_title,github_repo_description,stored_decision,stored_decision_rule,stored_fitness,stored_owner_score,stored_repo_score,stored_soft_tokens,stored_hard_tokens,repo_hard_tokens,repo_soft_tokens,metadata_nonproduct_terms,url_rejected_by_rule,cpe_uri,db_source,manual_suggested_action,manual_reason
CVE-2012-6662,jqueryui,jquery_ui,jquery@jquery,https://github.com/jquery/jquery/issues/2432,issue,,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,right_subset_extra_qualifier,0.880000,weak,0.769031,Y,200,https://github.com/jquery/jquery,GitHub - jquery/jquery: jQuery JavaScript Library · GitHub,jQuery JavaScript Library. Contribute to jquery/jquery development by creating an account on GitHub.,review,qualifier_removed_owner_weak_review,0.8931607978309961,0.7690308509457033,0.96,,,,,,N,cpe:2.3:a:jqueryui:jquery_ui:1.10.0:rc1:*:*:*:jquery:*:*,ref:score_filter,keep_review,CPE product jquery_ui but repo is jquery core; product boundary/CPE correctness needs manual confirmation
CVE-2014-0083,net-ldap_project,net-ldap,ruby-ldap@ruby-net-ldap,https://github.com/ruby-ldap/ruby-net-ldap/commit/b412ca05f6b430eaa1ce97ac95885b4cf187b04a,commit,Patch,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,left_subset_extra_qualifier,0.900000,weak,0.369577,Y,200,https://github.com/ruby-ldap/ruby-net-ldap,GitHub - ruby-ldap/ruby-net-ldap: Pure Ruby LDAP library · GitHub,Pure Ruby LDAP library . Contribute to ruby-ldap/ruby-net-ldap development by creating an account on GitHub.,review,qualifier_removed_owner_weak_review,0.7859037034920393,0.4625820099772552,0.96,,,,,,N,cpe:2.3:a:net-ldap_project:net-ldap:*:*:*:*:*:ruby:*:*,ref:score_filter,accept,manual review indicates product/source/library/app repo; accept is reasonable
CVE-2015-3152,oracle,mysql,mysql@mysql-server,https://github.com/mysql/mysql-server/commit/3bd5589e1a5a93f9c224badf983cd65c45215390,commit,Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,left_subset_extra_qualifier,0.900000,weak,0.133333,Y,200,https://github.com/mysql/mysql-server,"GitHub - mysql/mysql-server: MySQL Server, the world's most popular open source database, and MySQL Cluster, a real-time, open source transactional database. · GitHub","MySQL Server, the world's most popular open source database, and MySQL Cluster, a real-time, open source transactional database. - mysql/mysql-server",review,qualifier_removed_owner_weak_review,0.6706666666666666,0.1333333333333333,0.96,,,,,,N,cpe:2.3:a:oracle:mysql:*:*:*:*:*:*:*:*,ref:score_filter,accept,manual review indicates product/source/library/app repo; accept is reasonable
CVE-2015-9242,ecstatic_project,ecstatic,jfhbrook@node-ecstatic,https://github.com/jfhbrook/node-ecstatic/pull/179,pull,Issue Tracking;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,left_subset_extra_qualifier,0.900000,weak,0.125565,Y,200,https://github.com/jfhbrook/node-ecstatic,"GitHub - jfhbrook/node-ecstatic: A static file server middleware that works with core http, express or on the CLI! · GitHub","A static file server middleware that works with core http, express or on the CLI! - jfhbrook/node-ecstatic",review,qualifier_removed_owner_weak_review,0.624,0.0,0.96,,,,,,N,cpe:2.3:a:ecstatic_project:ecstatic:*:*:*:*:*:node.js:*:*,ref:score_filter,accept,manual review indicates product/source/library/app repo; accept is reasonable
CVE-2016-0546,oracle,mysql,mysql@mysql-server,https://github.com/mysql/mysql-server/commit/0dbd5a8797ed4bd18e8b883988fb62177eb0f73f,commit,Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,left_subset_extra_qualifier,0.900000,weak,0.133333,Y,200,https://github.com/mysql/mysql-server,"GitHub - mysql/mysql-server: MySQL Server, the world's most popular open source database, and MySQL Cluster, a real-time, open source transactional database. · GitHub","MySQL Server, the world's most popular open source database, and MySQL Cluster, a real-time, open source transactional database. - mysql/mysql-server",review,qualifier_removed_owner_weak_review,0.6706666666666666,0.1333333333333333,0.96,,,,,,N,cpe:2.3:a:oracle:mysql:*:*:*:*:*:*:*:*,ref:score_filter,accept,manual review indicates product/source/library/app repo; accept is reasonable
CVE-2016-10555,jwt-simple_project,jwt-simple,hokaccha@node-jwt-simple,https://github.com/hokaccha/node-jwt-simple/pull/14,pull,Issue Tracking;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,left_subset_extra_qualifier,0.900000,weak,0.100000,Y,200,https://github.com/hokaccha/node-jwt-simple,GitHub - hokaccha/node-jwt-simple: JWT(JSON Web Token) encode and decode module for node.js · GitHub,JWT(JSON Web Token) encode and decode module for node.js - hokaccha/node-jwt-simple,review,qualifier_removed_owner_weak_review,0.6485,0.07,0.96,,,,,,N,cpe:2.3:a:jwt-simple_project:jwt-simple:*:*:*:*:*:node.js:*:*,ref:score_filter,accept,manual review indicates product/source/library/app repo; accept is reasonable
CVE-2016-10703,ecstatic_project,ecstatic,jfhbrook@node-ecstatic,https://github.com/jfhbrook/node-ecstatic/commit/71ce93988ead4b561a8592168c72143907189f01,commit,Issue Tracking;Patch,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,left_subset_extra_qualifier,0.900000,weak,0.125565,Y,200,https://github.com/jfhbrook/node-ecstatic,"GitHub - jfhbrook/node-ecstatic: A static file server middleware that works with core http, express or on the CLI! · GitHub","A static file server middleware that works with core http, express or on the CLI! - jfhbrook/node-ecstatic",review,qualifier_removed_owner_weak_review,0.624,0.0,0.96,,,,,,N,cpe:2.3:a:ecstatic_project:ecstatic:*:*:*:*:*:node.js:*:*,ref:score_filter,accept,manual review indicates product/source/library/app repo; accept is reasonable
CVE-2016-6663,oracle,mysql,mysql@mysql-server,https://github.com/mysql/mysql-server/commit/4e5473862e6852b0f3802b0cd0c6fa10b5253291,commit,Issue Tracking;Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,left_subset_extra_qualifier,0.900000,weak,0.133333,Y,200,https://github.com/mysql/mysql-server,"GitHub - mysql/mysql-server: MySQL Server, the world's most popular open source database, and MySQL Cluster, a real-time, open source transactional database. · GitHub","MySQL Server, the world's most popular open source database, and MySQL Cluster, a real-time, open source transactional database. - mysql/mysql-server",review,qualifier_removed_owner_weak_review,0.6706666666666666,0.1333333333333333,0.96,,,,,,N,cpe:2.3:a:oracle:mysql:*:*:*:*:*:*:*:*,ref:score_filter,accept,manual review indicates product/source/library/app repo; accept is reasonable
CVE-2016-8614,redhat,ansible,ansible@ansible-modules-core,https://github.com/ansible/ansible-modules-core/issues/5237,issue,Exploit;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,left_subset_extra_qualifier,0.900000,weak,0.000000,Y,200,https://github.com/ansible/ansible-modules-core,GitHub - ansible/ansible-modules-core: Ansible modules - these modules ship with ansible · GitHub,Ansible modules - these modules ship with ansible. Contribute to ansible/ansible-modules-core development by creating an account on GitHub.,review,qualifier_removed_owner_weak_review,0.5980000000000001,0.0,0.92,,,,,,N,cpe:2.3:a:redhat:ansible:*:*:*:*:*:*:*:*,ref:score_filter,accept,manual review indicates product/source/library/app repo; accept is reasonable
CVE-2017-1000068,betterment,testtrack,betterment@test_track,https://github.com/Betterment/test_track/releases/tag/v1.0.1,release_tag,Third Party Advisory,confirmed_product_repo,high,"product-repo and vendor-owner names match strongly; metadata has non-product terms, but product-repo relation is strong; repository name has soft non-product token",compact_equal,1.000000,exact_norm,1.000000,Y,200,https://github.com/betterment/test_track,GitHub - Betterment/test_track: Server app for the TestTrack multi-platform split-testing and feature-gating system · GitHub,Server app for the TestTrack multi-platform split-testing and feature-gating system - Betterment/test_track,review,soft_only_high_score_review,0.9024999999999999,1.0,0.8499999999999999,test,,,test,test,N,cpe:2.3:a:betterment:testtrack:*:*:*:*:*:*:*:*,ref:score_filter,accept,manual review indicates product/source/library/app repo; accept is reasonable
