cve_id,vendor,product,repo_key,github_url,ref_kind,source_tags,verdict,confidence,audit_reason,product_repo_relation,product_repo_relation_score,vendor_owner_relation,vendor_owner_relation_score,metadata_product_hit,github_repo_http_status,github_repo_checked_url,github_repo_title,github_repo_description,stored_decision,stored_decision_rule,stored_fitness,stored_owner_score,stored_repo_score,stored_soft_tokens,stored_hard_tokens,repo_hard_tokens,repo_soft_tokens,metadata_nonproduct_terms,url_rejected_by_rule,cpe_uri,db_source,revised_policy_action,revised_policy_reason
CVE-2015-0258,o-dyn,collabtive,philippk-de@collabtive,https://github.com/philippK-de/Collabtive/commit/9ce6301583669d0a8ecb4d23fb56e34b68511335,commit,Patch;Third Party Advisory,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,weak,0.080000,N,404,https://github.com/philippk-de/collabtive,Page not found · GitHub · GitHub,,accept,ref_clean_repo_score_ge_threshold,0.678,0.07999999999999999,1.0,,,,,,N,cpe:2.3:a:o-dyn:collabtive:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2016-6882,matrixssl,matrixssl,matrixssl@matrixssl,https://github.com/matrixssl/matrixssl/blob/master/CHANGES.md#validation-of-rsa-signature-creation,repo_or_file,Patch;Release Notes,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,exact_norm,1.000000,N,404,https://github.com/matrixssl/matrixssl,Page not found · GitHub · GitHub,,accept,score_threshold,1.0,1.0,1.0,,,,,,N,cpe:2.3:a:matrixssl:matrixssl:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2016-6883,matrixssl,matrixssl,matrixssl@matrixssl,https://github.com/matrixssl/matrixssl/blob/master/CHANGES.md,repo_or_file,Patch;Release Notes,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,exact_norm,1.000000,N,404,https://github.com/matrixssl/matrixssl,Page not found · GitHub · GitHub,,accept,score_threshold,1.0,1.0,1.0,,,,,,N,cpe:2.3:a:matrixssl:matrixssl:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2016-6884,matrixssl,matrixssl,matrixssl@matrixssl,https://github.com/matrixssl/matrixssl/blob/master/CHANGES.md,repo_or_file,Release Notes;Vendor Advisory,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,exact_norm,1.000000,N,404,https://github.com/matrixssl/matrixssl,Page not found · GitHub · GitHub,,accept,score_threshold,1.0,1.0,1.0,,,,,,N,cpe:2.3:a:matrixssl:matrixssl:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2016-6890,matrixssl,matrixssl,matrixssl@matrixssl,https://github.com/matrixssl/matrixssl/blob/3-8-6-open/CHANGES.md,repo_or_file,Patch;Release Notes;Third Party Advisory,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,exact_norm,1.000000,N,404,https://github.com/matrixssl/matrixssl,Page not found · GitHub · GitHub,,accept,score_threshold,1.0,1.0,1.0,,,,,,N,cpe:2.3:a:matrixssl:matrixssl:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2016-6891,matrixssl,matrixssl,matrixssl@matrixssl,https://github.com/matrixssl/matrixssl/blob/3-8-6-open/CHANGES.md,repo_or_file,Patch;Release Notes;Third Party Advisory,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,exact_norm,1.000000,N,404,https://github.com/matrixssl/matrixssl,Page not found · GitHub · GitHub,,accept,score_threshold,1.0,1.0,1.0,,,,,,N,cpe:2.3:a:matrixssl:matrixssl:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2016-6892,matrixssl,matrixssl,matrixssl@matrixssl,https://github.com/matrixssl/matrixssl/blob/3-8-6-open/CHANGES.md,repo_or_file,Patch;Release Notes;Third Party Advisory,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,exact_norm,1.000000,N,404,https://github.com/matrixssl/matrixssl,Page not found · GitHub · GitHub,,accept,score_threshold,1.0,1.0,1.0,,,,,,N,cpe:2.3:a:matrixssl:matrixssl:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2017-1000417,matrixssl,matrixssl,matrixssl@matrixssl,https://github.com/matrixssl/matrixssl/blob/master/doc/CHANGES.md,repo_or_file,Release Notes,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,exact_norm,1.000000,N,404,https://github.com/matrixssl/matrixssl,Page not found · GitHub · GitHub,,accept,score_threshold,1.0,1.0,1.0,,,,,,N,cpe:2.3:a:matrixssl:matrixssl:3.7.2:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2017-8297,simple-file-manager_project,simple-file-manager,jcampbell1@simple-file-manager,https://github.com/jcampbell1/simple-file-manager/commit/de52e7ee61a842d8fdf791f2a5b7c91b6c5cdb56,commit,Issue Tracking;Third Party Advisory;VDB Entry,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,weak,0.146667,N,404,https://github.com/jcampbell1/simple-file-manager,Page not found · GitHub · GitHub,,accept,ref_clean_repo_score_ge_threshold,0.6908333333333333,0.11666666666666664,1.0,,,,,,N,cpe:2.3:a:simple-file-manager_project:simple-file-manager:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
CVE-2018-1000889,logisim-evolution_project,logisim-evolution,reds-heig@logisim-evolution,https://github.com/reds-heig/logisim-evolution/pull/139,pull,Patch;Third Party Advisory,broken_or_unreachable_github_repo,high,GitHub repo page returned HTTP 404,exact_norm,1.000000,weak,0.139130,N,404,https://github.com/reds-heig/logisim-evolution,Page not found · GitHub · GitHub,,accept,ref_clean_repo_score_ge_threshold,0.6745,0.07,1.0,,,,,,N,cpe:2.3:a:logisim-evolution_project:logisim-evolution:*:*:*:*:*:*:*:*,ref:score_filter,accept_with_reference_evidence_flag,repo-root 404 check alone is not a reject criterion; keep if the actual NVD GitHub reference URL is a patch/commit/issue/advisory evidence link and resolves or is historically valid
